1, 1, 1, 46, 42, 34, 27
1, 1, 3, 46, 34, 34, 26
1, 1, 5, 46, 25, 34, 25
2, 1, 1, 8, 8, 3, 3
2, 1, 3, 8, 7, 3, 3
2, 1, 5, 8, 6, 3, 3
3, 1, 1, 67, 61, 56, 50
3, 1, 3, 67, 52, 56, 44
3, 1, 5, 67, 43, 56, 44
4, 1, 1, 42, 33, 23, 18
4, 1, 3, 42, 31, 23, 13
4, 1, 5, 42, 26, 23, 13
1, -1, 1, 46, 41, 34, 25
1, -1, 3, 46, 37, 34, 20
1, -1, 5, 46, 31, 34, 18
2, -1, 1, 8, 7, 3, 3
2, -1, 3, 8, 7, 3, 2
2, -1, 5, 8, 7, 3, 1
3, -1, 1, 67, 56, 56, 49
3, -1, 3, 67, 49, 56, 38
3, -1, 5, 67, 46, 56, 33
4, -1, 1, 42, 36, 23, 21
4, -1, 3, 42, 27, 23, 19
4, -1, 5, 42, 18, 23, 14
