v2	1	0.196969697	0.803030303	0.186868687
h2	1	0.242857143	1.371428571	0.337142857
d21	1	0.53125	1.609375	0.793945313
d22	1	0.4375	1.5	0.666992188
e31	1	0.222222222	1.574074074	0.319615912
e32	1	0.275862069	1.5	0.392984542
e33	1	0.293103448	1.413793103	0.372770511
e34	1	0.296875	1.546875	0.445800781
h3	1	0.435483871	1.919354839	0.828824142
v3	1	0.046875	0.109375	0.005371094
d31	1	0.5	1.722222222	0.817901235
d32	1	0.619047619	1.452380952	0.899092971
h3e1	1	0.551724138	1.879310345	1.010107015
h3e2	1	0.316666667	1.5	0.478333333
h3e3	1	0.548387097	1.919354839	1.034859521
v3e1	1	0.080645161	0.967741935	0.087408949
v3e2	1	0.1875	1.578125	0.305175781
v3e3	1	0.080645161	1.548387097	0.134755463
vh2e1	1	0.555555556	1.083333333	0.606481481
vh2e2	1	0.25862069	1.448275862	0.335909631
vh2e3	1	0.275862069	1.413793103	0.312722949
