ps1, 1, 1, 46, 42, 29, 22
1, 1, 3, 46, 34, 29, 21
1, 1, 5, 46, 25, 29, 20
2, 1, 1, 8, 8, 3, 3
2, 1, 3, 8, 7, 3, 3
2, 1, 5, 8, 6, 3, 3
3, 1, 1, 67, 61, 48, 42
3, 1, 3, 67, 52, 48, 36
3, 1, 5, 67, 43, 48, 36
4, 1, 1, 42, 33, 23, 18
4, 1, 3, 42, 31, 23, 13
4, 1, 5, 42, 26, 23, 13
1, -1, 1, 46, 41, 29, 20
1, -1, 3, 46, 38, 29, 15
1, -1, 5, 46, 32, 29, 13
2, -1, 1, 8, 7, 3, 3
2, -1, 3, 8, 7, 3, 2
2, -1, 5, 8, 7, 3, 1
3, -1, 1, 67, 56, 48, 41
3, -1, 3, 67, 49, 48, 33
3, -1, 5, 67, 46, 48, 27
4, -1, 1, 42, 36, 23, 21
4, -1, 3, 42, 27, 23, 19
4, -1, 5, 42, 16, 23, 16
